id,label,url,brand,name,price,skin type,concern,image url
536,cleanser,https://www.myntra.com/face-wash-and-cleanser/skinkraft/skinkraft-women-syndet-face-cleanser-60ml/15268054/buy,skinkraft,women syndet face cleanser 60ml,₹ 399,normal,"deep nourishment,,","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15268054/2022/7/18/8d27e40e-a003-4764-85aa-fad45529f1331658135912070-SKINKRAFT-Women-Syndet-Face-Cleanser-60ml-2791658135911395-1.jpg"
537,cleanser,https://www.myntra.com/face-wash-and-cleanser/mamaearth/mamaearth-sustainable-set-of-2-charcoal-face-wash-for-oil-control---100-ml-each/11081258/buy,mamaearth,sustainable set of 2 charcoal face wash for oil control - 100 ml each,₹ 448,normal,"tan removal,dull skin,pore care","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11081258/2019/12/4/24f415f9-b7a0-4f98-aed5-80c94f39d02c1575444495739-Mamaearth-Unisex-Set-of-2-Charcoal-Face-Wash-877157544449501-1.jpg"
538,cleanser,https://www.myntra.com/face-wash-and-cleanser/neutrogena/neutrogena-unisex-pack-of-2-deep-clean-facial-cleanser-50-ml/7037927/buy,neutrogena,unisex pack of 2 deep clean facial cleanser 50 ml,₹ 221,oily,"pore care,excess oil,","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7037927/2018/7/31/1cf4e092-827f-4e58-9054-44c1cab37d9a1533027815790-Neutrogena-Unisex-Pack-Of-2-Deep-Clean-Facial-Cleanser-50-ml-3191533027815753-1.jpg"
539,cleanser,https://www.myntra.com/face-wash-and-cleanser/azani-active-care/azani-active-care-pack-of-3-unisex-1-salicylic-acid-face-wash--100-ml-each/15322568/buy,azani active care,pack of 3 unisex 1% salicylic acid face wash -100 ml each,₹ 742,all,"acne,blemishes,excess oil,blackheads,whiteheads","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15322568/2021/8/31/b878852d-c986-4107-a916-04e4e212a4011630413896239AzaniActiveCare1SalicylicAcidFaceWashForAcneProneOilySkin1.jpg"
540,cleanser,https://www.myntra.com/face-wash-and-cleanser/biotique/biotique-set-of-face-wash--toner/13538402/buy,biotique,set of face wash & toner,₹ 269,all,"dull skin,uneven skin tone,daily use","https://assets.myntassets.com/h_1136,q_90,w_852/v1/assets/images/13538402/2021/1/29/727ed26d-636a-445d-96c4-00c0f53cb4b61611922187485BiotiqueSetOfCreamLipBalmFaceMoisturisersBiotiqueUnisexFaceW1.jpg"
541,cleanser,https://www.myntra.com/face-wash-and-cleanser/innisfree/innisfree-unisex-jeju-hellabong-daily-facial-cleanser-150-ml/12736264/buy,innisfree,unisex jeju hellabong daily facial cleanser 150 ml,₹ 900,all,"general care,hydration,pore care","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12736264/2020/10/20/c1fb96c4-c164-4f0c-a46d-962bc35f5bf11603196140005-Innisfree-Unisex-Face-Wash-and-Cleanser-1861603196139904-1.jpg"
542,cleanser,https://www.myntra.com/face-wash-and-cleanser/tnw-the-natural-wash/tnw-the-natural-wash-multani-mitti-face-wash---100-ml/14357206/buy,tnw the natural wash,multani mitti face wash - 100 ml,₹ 218,oily,"daily use,excess oil,daily use","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/14357206/2023/9/12/d7f7b723-fd2a-43d9-86fb-07c9270ce5f51694515914413-TNW-the-natural-wash-Multani-Mitti-Face-Wash---100-ml-972169-1.jpg"
543,cleanser,https://www.myntra.com/face-wash-and-cleanser/garnier/garnier-men-pack-of-2-power-white-anti-pollution-double-action-face-wash/11815884/buy,garnier,men pack of 2 power white anti-pollution double action face wash,₹ 345,all,"lightening,,","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11815884/2023/7/28/3311a6ad-24f5-4989-b13c-c39c94e201721690533659473-Garnier-Men-Pack-of-2-Power-White-Anti-Pollution-Double-Acti-1.jpg"
544,cleanser,https://www.myntra.com/face-wash-and-cleanser/neutrogena/neutrogena-unisex-set-of-2-deep-clean-foam-cleanser/7037937/buy,neutrogena,unisex set of 2 deep clean foam cleanser,₹ 263,oily,"anti-pollution,pore care,","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7037937/2018/7/31/94184633-b00f-4c82-a333-615ea3010ffd1533027827407-Neutrogena-Unisex-Pack-Of-2-Deep-Clean-Foam-Cleanser-50-gm-8081533027827340-1.jpg"
545,cleanser,https://www.myntra.com/face-wash-and-cleanser/deyomkar/deyomkar-natural-herbal--charcoal-face-wash---200-ml/15336044/buy,deyomkar,natural herbal & charcoal face wash - 200 ml,₹ 114,all,"daily use,anti-pollution,dull skin","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15336044/2022/2/10/2a1ba3f9-0e3c-468f-9e39-7d3cb9009a2c1644483570244DeyomkarNaturalHerbalCharcoalFaceWash-200ml1.jpg"
